,PM2.5,PM10,NO2,O3,CO,SO2,BC,NO,NOX,Overall_AQI_Level,Overall_AQI_Category
2014-03-13 00:00:00+05:30,5.0,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-14 00:00:00+05:30,5.013725490196078,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-15 00:00:00+05:30,5.027450980392157,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-16 00:00:00+05:30,5.041176470588235,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-17 00:00:00+05:30,5.0549019607843135,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-18 00:00:00+05:30,5.068627450980392,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-19 00:00:00+05:30,5.08235294117647,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-20 00:00:00+05:30,5.096078431372549,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-21 00:00:00+05:30,5.109803921568627,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-22 00:00:00+05:30,5.123529411764705,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-23 00:00:00+05:30,5.137254901960785,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-24 00:00:00+05:30,5.150980392156863,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-25 00:00:00+05:30,5.1647058823529415,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-26 00:00:00+05:30,5.17843137254902,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-27 00:00:00+05:30,5.192156862745098,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-28 00:00:00+05:30,5.205882352941177,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
2014-03-29 00:00:00+05:30,5.219607843137255,57.87,7.0,209.9553571428572,740.7,0.1651,0.43,0.0070212183528934,0.012899,6,Hazardous
